# AS60900 GeoFeed
# Contact: hey@as60900.net
# Last Updated: 2025-10-26T16:01:55.478Z
# prefix,country_code,region_code,city,postal
44.30.29.0/24,CA,CA-QC,Montreal,H3E1T9
170.39.49.0/24,CA,CA-QC,Montreal,H3E1T9
170.39.49.80/28,US,US-MA,Concord,,
2602:f50c::/48,,,,
2602:f50c:210::/44,CA,CA-QC,Montreal,H3E1T9
2602:f50c:211::/44,CA,CA-QC,Montreal,H3E1T9
2602:f50c:212::/44,CA,CA-QC,Montreal,H3E1T9
2602:f50c:213::/44,CA,CA-QC,Montreal,H3E1T9
2602:f50c:214::/44,CA,CA-QC,Montreal,H3E1T9
2602:fab8::/36,,,,
2a07:54c1:8c00::/48,,,,
2a07:54c1:8c20::/48,US,,,
2a07:54c1:8c21::/48,US,US-CA,Fremont,94539
2a07:54c1:8c30::/48,CA,CA-QC,Montreal,,
2a07:54c1:8c31::/48,CA,CA-QC,Montreal,H3E1T9
2a07:54c1:8c32::/48,CA,CA-ON,Toronto,M5A0G7
2a07:54c1:8c50::/48,DE,,,
2a07:54c1:8c51::/48,DE,DE-HE,Frankfurt,60489
2a07:54c1:8c52::/48,DE,DE-HE,Frankfurt,60489
2a07:54c1:8c53::/48,DE,DE-HE,Frankfurt,60489
2a07:54c1:8c60::/48,TW,CN-TW,Taipei City,,
2a07:54c1:8c70::/48,NL,,,
2a07:54c1:8c72::/48,NL,NL-NH,Amsterdam,1098XG
2a07:54c1:8c73::/48,NL,NL-NH,Amsterdam,1098XG
2a07:54c1:8c80::/48,US,,,
2a07:54c1:8c82::/48,US,US-VA,Ashburn,20147
2a07:54c1:8c83::/48,US,US-NY,New York City,07047
2a07:54c1:8c90::/48,CA,,,
2a07:54c1:8c91::/48,CA,CA-BC,Vancouver,V5M2H1
2a07:54c1:8c92::/48,CA,CA-BC,Vancouver,V5M2H1
2a07:54c1:8ca0::/48,AU,,,
